id,query_nl,query_style,language,malware_family,malware_type,mitre_technique,mitre_id,rule_name,yara_rule,label,difficulty,source_type
1,Detect a ransomware that encrypts files and uses the string CryptEncrypt,technical,en,WannaCry,ransomware,Data Encrypted for Impact,T1486,Detect_WannaCry_CryptEncrypt,"rule Detect_WannaCry_CryptEncrypt { meta: description=""Detects WannaCry ransomware via CryptEncrypt API"" author=""Manual"" date=""2026-01-10"" strings: $api = ""CryptEncrypt"" $ext = "".WNCRY"" $msg = ""WannaCry"" condition: $api and ($ext or $msg) }",malicious,easy,manual
2,Détecter un ransomware qui renomme les fichiers avec l'extension .locked,formal_fr,fr,LockBit,ransomware,Data Encrypted for Impact,T1486,Detect_LockBit_Extension,"rule Detect_LockBit_Extension { meta: description=""Detects LockBit via .locked extension"" author=""Manual"" date=""2026-01-10"" strings: $ext1 = "".locked"" fullword $ext2 = "".lockbit"" fullword $note = ""LockBit_Readme.txt"" condition: any of them }",malicious,easy,manual
3,i need a rule to catch malware that downloads stuff from the internet and hides itself,informal,en,Generic Downloader,trojan,Ingress Tool Transfer,T1105,Detect_Generic_Downloader,"rule Detect_Generic_Downloader { meta: description=""Detects generic downloader trojan"" strings: $url1 = ""http://"" $url2 = ""https://"" $dl = ""URLDownloadToFile"" $hide = ""SetFileAttributesA"" condition: ($url1 or $url2) and $dl and $hide }",malicious,medium,manual
4,Règle YARA pour détecter un keylogger qui capture les frappes clavier,technical_fr,fr,Generic Keylogger,spyware,Input Capture: Keylogging,T1056.001,Detect_Keylogger_API,"rule Detect_Keylogger_API { meta: description=""Detects keylogger via Windows API"" author=""Manual"" strings: $api1 = ""SetWindowsHookEx"" $api2 = ""GetAsyncKeyState"" $api3 = ""GetKeyboardState"" $log = ""keylog"" nocase condition: 2 of ($api1, $api2, $api3) or $log }",malicious,medium,manual
5,detect pe file that injects code into other processes using CreateRemoteThread,technical,en,Injector,trojan,Process Injection,T1055,Detect_Process_Injection_CRT,"rule Detect_Process_Injection_CRT { meta: description=""Detects process injection via CreateRemoteThread"" strings: $api1 = ""CreateRemoteThread"" $api2 = ""VirtualAllocEx"" $api3 = ""WriteProcessMemory"" $api4 = ""OpenProcess"" condition: pe.is_pe and 3 of them }",malicious,hard,manual
6,Je veux détecter un virus qui se propage via clé USB et crée des fichiers autorun,formal_fr,fr,USB Worm,worm,Replication Through Removable Media,T1091,Detect_USB_Worm_Autorun,"rule Detect_USB_Worm_Autorun { meta: description=""Detects USB worm using autorun.inf"" strings: $autorun = ""autorun.inf"" nocase $open = ""open="" $shell = ""shell\\open\\command"" condition: $autorun and ($open or $shell) }",malicious,easy,manual
7,find malware that uses base64 encoding to hide its payload and decodes it at runtime,technical,en,Obfuscated Malware,trojan,Obfuscated Files or Information,T1027,Detect_Base64_Obfuscation,"rule Detect_Base64_Obfuscation { meta: description=""Detects base64-encoded payload execution"" strings: $b64 = /[A-Za-z0-9+\/]{40,}={0,2}/ $decode = ""CryptStringToBinary"" $ps = ""FromBase64String"" condition: ($b64 and $decode) or $ps }",malicious,medium,manual
8,détecter un malware qui désactive l'antivirus Windows Defender,informal_fr,fr,Defender Killer,trojan,Impair Defenses,T1562.001,Detect_Disable_Defender,"rule Detect_Disable_Defender { meta: description=""Detects attempt to disable Windows Defender"" strings: $cmd1 = ""Set-MpPreference -DisableRealtimeMonitoring"" nocase $cmd2 = ""sc stop WinDefend"" nocase $cmd3 = ""DisableAntiSpyware"" $reg = ""Windows Defender\\\\Real-Time Protection"" condition: any of them }",malicious,medium,manual
9,Write a YARA rule to detect Emotet banking trojan communicating with C2 servers,technical,en,Emotet,banker,Command and Control,T1071,Detect_Emotet_C2,"rule Detect_Emotet_C2 { meta: description=""Detects Emotet C2 communication patterns"" author=""Manual"" strings: $mutex = ""Global\\\\Emotet"" nocase $pdb = ""emotet"" nocase $useragent = ""Mozilla/4.0"" $inet = ""InternetOpenUrl"" condition: pe.is_pe and (($mutex or $pdb) and ($useragent or $inet)) }",malicious,hard,manual
10,je cherche a identifier un ransomware de type double extorsion qui exfiltre avant de chiffrer,technical_fr,fr,BlackCat,ransomware,Exfiltration Over C2 Channel,T1041,Detect_DoubleExtortion_Ransomware,"rule Detect_DoubleExtortion_Ransomware { meta: description=""Detects double extortion ransomware pattern"" strings: $exfil = ""curl.exe"" $compress = ""7z.exe"" $encrypt = ""CryptEncrypt"" $note1 = ""YOUR FILES ARE ENCRYPTED"" nocase $note2 = ""double extortion"" nocase condition: ($exfil or $compress) and $encrypt and any of ($note1, $note2) }",malicious,hard,manual
11,detect a trojan that modifies the Windows registry for persistence at startup,technical,en,Generic Trojan,trojan,Registry Run Keys / Startup Folder,T1547.001,Detect_Registry_Persistence,"rule Detect_Registry_Persistence { meta: description=""Detects registry-based persistence mechanism"" strings: $reg1 = ""SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run"" $reg2 = ""SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\RunOnce"" $api = ""RegSetValueEx"" condition: ($reg1 or $reg2) and $api }",malicious,easy,manual
12,Détecter un malware qui utilise PowerShell pour télécharger et exécuter du code,technical_fr,fr,PowerShell Dropper,dropper,Command and Scripting Interpreter: PowerShell,T1059.001,Detect_PowerShell_Download_Exec,"rule Detect_PowerShell_Download_Exec { meta: description=""Detects PowerShell download cradle"" strings: $ps1 = ""powershell"" nocase $dl1 = ""DownloadString"" $dl2 = ""DownloadFile"" $iex = ""IEX"" $invoke = ""Invoke-Expression"" condition: $ps1 and ($dl1 or $dl2) and ($iex or $invoke) }",malicious,medium,manual
13,rule to detect a rootkit that hooks system calls to hide processes,technical,en,Generic Rootkit,rootkit,Hide Artifacts,T1564,Detect_Rootkit_SSDT_Hook,"rule Detect_Rootkit_SSDT_Hook { meta: description=""Detects rootkit via SSDT hook signatures"" strings: $ssdt = ""\\\\\\\\Device\\\\\\\\PhysicalMemory"" $zwq = ""ZwQuerySystemInformation"" $hook = { 90 90 90 E9 ?? ?? ?? ?? } $driver = ""\\\\.\\\\PhysicalDrive"" condition: ($ssdt and $zwq) or ($hook and $driver) }",malicious,hard,manual
14,un simple virus qui copie des fichiers et se réplique sur le réseau,informal_fr,fr,Network Worm,worm,Lateral Movement,T1021,Detect_Network_Worm_Replication,"rule Detect_Network_Worm_Replication { meta: description=""Detects worm replication via network shares"" strings: $copy = ""CopyFile"" $net1 = ""\\\\\\\\*\\\\*"" $net2 = ""net use"" $ipc = ""IPC$"" condition: $copy and ($net1 or $net2 or $ipc) }",malicious,medium,manual
15,detect spyware that takes screenshots and sends them to a remote server,technical,en,Spyware,spyware,Screen Capture,T1113,Detect_Screenshot_Spyware,"rule Detect_Screenshot_Spyware { meta: description=""Detects spyware capturing screenshots"" strings: $api1 = ""BitBlt"" $api2 = ""GetDesktopWindow"" $api3 = ""CreateCompatibleBitmap"" $send = ""send"" $ftp = ""ftp"" nocase condition: 2 of ($api1, $api2, $api3) and ($send or $ftp) }",malicious,medium,manual
16,Détecter un malware de type RAT qui ouvre un backdoor sur le port 4444,technical_fr,fr,Generic RAT,rat,Remote Access Software,T1219,Detect_RAT_Backdoor_Port4444,"rule Detect_RAT_Backdoor_Port4444 { meta: description=""Detects RAT opening backdoor on port 4444"" strings: $port = { 11 5C } $bind = ""bind"" $listen = ""listen"" $shell = ""cmd.exe"" $nc = ""netcat"" nocase condition: ($bind and $listen) and ($shell or $nc) }",malicious,medium,manual
17,YARA rule for detecting Mirai botnet malware on IoT devices,technical,en,Mirai,botnet,Exploitation of Remote Services,T1210,Detect_Mirai_Botnet,"rule Detect_Mirai_Botnet { meta: description=""Detects Mirai botnet IoT malware"" strings: $str1 = ""/bin/busybox"" $str2 = ""MIRAI"" $str3 = ""telnet"" $kill = ""kill"" $exec = ""/bin/sh"" condition: $str1 and ($str2 or ($str3 and $kill and $exec)) }",malicious,hard,manual
18,détecter un crypto-mineur qui utilise le CPU à fond pour miner du Monero,informal_fr,fr,XMRig Miner,cryptominer,Resource Hijacking,T1496,Detect_XMRig_Cryptominer,"rule Detect_XMRig_Cryptominer { meta: description=""Detects XMRig Monero CPU miner"" strings: $xmr1 = ""xmrig"" nocase $xmr2 = ""monero"" nocase $pool = ""pool.minexmr.com"" $wallet = ""donate.xmrig.com"" $cpu = ""--max-cpu-usage"" condition: any of them }",malicious,easy,manual
19,find malware that uses DLL side-loading to execute malicious code,technical,en,DLL Sideload,trojan,DLL Side-Loading,T1574.002,Detect_DLL_Sideloading,"rule Detect_DLL_Sideloading { meta: description=""Detects DLL side-loading technique"" strings: $legit1 = ""version.dll"" nocase $legit2 = ""wininet.dll"" nocase $load = ""LoadLibrary"" $pe_char = { 4D 5A } condition: $pe_char at 0 and $load and ($legit1 or $legit2) and filesize < 500KB }",malicious,hard,manual
20,Détecter un cheval de Troie bancaire qui intercepte les transactions en ligne,formal_fr,fr,Zeus,banker,Credentials from Web Browsers,T1555.003,Detect_Zeus_Banking_Trojan,"rule Detect_Zeus_Banking_Trojan { meta: description=""Detects Zeus banking trojan web inject"" strings: $inject1 = ""webinject"" nocase $inject2 = ""formgrab"" nocase $bank1 = ""paypal"" nocase $bank2 = ""bankofamerica"" nocase $hook = ""HttpSendRequest"" condition: ($inject1 or $inject2) and ($bank1 or $bank2) and $hook }",malicious,hard,manual
21,detect legitimate Windows calculator application,technical,en,Windows Calc,benign,N/A,N/A,Benign_Windows_Calculator,"rule Benign_Windows_Calculator { meta: description=""Identifies legitimate Windows calculator"" strings: $name = ""calc.exe"" $pub = ""Microsoft Corporation"" $desc = ""Windows Calculator"" condition: $name and $pub and $desc and filesize < 1MB }",benign,easy,manual
22,règle pour identifier un fichier PDF normal sans code malveillant,formal_fr,fr,Clean PDF,benign,N/A,N/A,Benign_Clean_PDF,"rule Benign_Clean_PDF { meta: description=""Identifies clean PDF without malicious content"" strings: $pdf_header = ""%PDF-"" $eof = ""%%EOF"" $nojs = ""JavaScript"" condition: $pdf_header at 0 and $eof and not $nojs }",benign,easy,manual
23,identify a normal text file with no executable content,technical,en,Plain Text,benign,N/A,N/A,Benign_Plain_Text_File,"rule Benign_Plain_Text_File { meta: description=""Identifies benign plain text file"" strings: $no_pe = { 4D 5A } $no_elf = { 7F 45 4C 46 } condition: not $no_pe at 0 and not $no_elf at 0 and filesize < 10MB }",benign,easy,manual
24,Fichier image JPG légitime sans code caché,informal_fr,fr,Clean JPG,benign,N/A,N/A,Benign_Clean_JPEG,"rule Benign_Clean_JPEG { meta: description=""Identifies clean JPEG image file"" strings: $jpg_magic = { FF D8 FF } $jpg_end = { FF D9 } condition: $jpg_magic at 0 and $jpg_end }",benign,easy,manual
25,detect a normal Python script with no malicious imports,technical,en,Clean Python,benign,N/A,N/A,Benign_Clean_Python_Script,"rule Benign_Clean_Python_Script { meta: description=""Identifies benign Python script"" strings: $py = ""#!/usr/bin/python"" $import_os = ""import os"" $no_exec = ""subprocess.call"" $no_socket = ""import socket"" condition: ($py or $import_os) and not $no_exec and not $no_socket }",benign,medium,manual
26,Detect ransomware that drops a ransom note named README.txt,short_technical,en,Generic Ransomware,ransomware,Data Encrypted for Impact,T1486,Detect_Ransom_Note_README,"rule Detect_Ransom_Note_README { meta: description=""Detects ransomware dropping README ransom note"" strings: $note1 = ""README.txt"" $note2 = ""YOUR FILES HAVE BEEN ENCRYPTED"" nocase $note3 = ""bitcoin"" nocase $note4 = ""BTC"" condition: $note1 and ($note2 or $note3 or $note4) }",malicious,easy,manual
27,يريد الكشف عن برنامج فدية يستخدم التشفير AES,short_ar,ar,AES Ransomware,ransomware,Data Encrypted for Impact,T1486,Detect_AES_Ransomware_Generic,"rule Detect_AES_Ransomware_Generic { meta: description=""Detects ransomware using AES encryption"" strings: $aes1 = ""AES"" $aes2 = ""CryptEncrypt"" $aes3 = { 52 69 6A 6E 64 61 65 6C } $ext = "".enc"" condition: ($aes1 or $aes3) and $aes2 and $ext }",malicious,medium,manual
28,detect malware communicating over DNS tunneling to exfiltrate data,technical,en,DNS Tunneler,trojan,Exfiltration Over Alternative Protocol,T1048,Detect_DNS_Tunneling,"rule Detect_DNS_Tunneling { meta: description=""Detects DNS tunneling for data exfiltration"" strings: $dns1 = ""DnsQuery"" $dns2 = ""gethostbyname"" $long_subdomain = /[a-zA-Z0-9]{30,}\.[a-z]{2,6}/ $iodine = ""iodine"" nocase condition: ($dns1 or $dns2) and ($long_subdomain or $iodine) }",malicious,hard,manual
29,Détecter un malware qui utilise des techniques anti-analyse pour éviter les sandbox,technical_fr,fr,Anti-Sandbox,trojan,Virtualization/Sandbox Evasion,T1497,Detect_AntiSandbox_Evasion,"rule Detect_AntiSandbox_Evasion { meta: description=""Detects anti-sandbox evasion techniques"" strings: $sleep = ""Sleep"" $tick = ""GetTickCount"" $vm1 = ""VMware"" nocase $vm2 = ""VirtualBox"" nocase $debug = ""IsDebuggerPresent"" $mouse = ""GetCursorPos"" condition: ($vm1 or $vm2 or $debug) and ($sleep or $tick or $mouse) }",malicious,hard,manual
30,quick rule to catch exe that deletes shadow copies to prevent recovery,short_technical,en,Shadow Deleter,ransomware,Inhibit System Recovery,T1490,Detect_ShadowCopy_Deletion,"rule Detect_ShadowCopy_Deletion { meta: description=""Detects shadow copy deletion to prevent recovery"" strings: $vss1 = ""vssadmin delete shadows"" nocase $vss2 = ""wmic shadowcopy delete"" nocase $vss3 = ""bcdedit /set {default} recoveryenabled no"" nocase condition: any of them }",malicious,medium,manual
31,Détecter un spyware mobile qui accède aux contacts et SMS,technical_fr,fr,Mobile Spyware,spyware,Data from Local System,T1005,Detect_Mobile_Spyware_Contacts,"rule Detect_Mobile_Spyware_Contacts { meta: description=""Detects Android spyware accessing contacts/SMS"" strings: $perm1 = ""READ_CONTACTS"" $perm2 = ""READ_SMS"" $perm3 = ""ACCESS_FINE_LOCATION"" $upload = ""uploadData"" $srv = ""BackgroundService"" condition: 3 of ($perm1, $perm2, $perm3) and ($upload or $srv) }",malicious,medium,manual
32,detect file that uses mimikatz to dump Windows credentials from LSASS,technical,en,Mimikatz,credential_stealer,OS Credential Dumping: LSASS Memory,T1003.001,Detect_Mimikatz_Credential_Dump,"rule Detect_Mimikatz_Credential_Dump { meta: description=""Detects Mimikatz credential dumping tool"" strings: $mimi1 = ""mimikatz"" nocase $mimi2 = ""sekurlsa"" nocase $lsass = ""lsass"" nocase $priv = ""privilege::debug"" nocase $pass = ""sekurlsa::logonpasswords"" nocase condition: any of them }",malicious,medium,manual
33,file normal de configuration système Windows sans activité suspecte,formal_fr,fr,Windows Config,benign,N/A,N/A,Benign_Windows_Config_File,"rule Benign_Windows_Config_File { meta: description=""Identifies benign Windows configuration file"" strings: $xml = ""<?xml version"" $win = ""Windows"" $config = ""configuration"" $no_script = ""<script"" $no_exec = ""cmd.exe"" condition: $xml and $win and $config and not $no_script and not $no_exec }",benign,easy,manual
34,YARA rule to detect Agent Tesla infostealer exfiltrating via SMTP,technical,en,Agent Tesla,infostealer,Exfiltration Over Alternative Protocol,T1048.002,Detect_AgentTesla_SMTP_Exfil,"rule Detect_AgentTesla_SMTP_Exfil { meta: description=""Detects Agent Tesla infostealer SMTP exfiltration"" strings: $tesla1 = ""AgentTesla"" nocase $smtp1 = ""smtp.gmail.com"" $smtp2 = ""MAIL FROM:"" $key = ""GetAsyncKeyState"" $clip = ""GetClipboardData"" condition: ($tesla1 or ($smtp1 and $smtp2)) and ($key or $clip) }",malicious,hard,manual
35,détecter un malware qui modifie le fichier hosts pour rediriger le trafic,informal_fr,fr,Hosts Modifier,trojan,Boot or Logon Autostart Execution,T1547,Detect_Hosts_File_Modification,"rule Detect_Hosts_File_Modification { meta: description=""Detects malware modifying Windows hosts file"" strings: $hosts = ""C:\\\\Windows\\\\System32\\\\drivers\\\\etc\\\\hosts"" $write = ""WriteFile"" $redirect1 = ""127.0.0.1"" $redirect2 = ""0.0.0.0"" condition: $hosts and $write and ($redirect1 or $redirect2) }",malicious,medium,manual
36,i need to detect a wiper malware that overwrites MBR to destroy the system,informal,en,MBR Wiper,wiper,Disk Wipe,T1561,Detect_MBR_Wiper,"rule Detect_MBR_Wiper { meta: description=""Detects MBR wiper malware"" strings: $mbr = ""\\\\.\\\\PhysicalDrive0"" $write = ""WriteFile"" $zeros = { 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 } $wipe = ""DeviceIoControl"" condition: $mbr and ($write or $wipe) and $zeros }",malicious,hard,manual
37,Détecter Cobalt Strike beacon utilisé par des attaquants APT,technical_fr,fr,Cobalt Strike,apt_tool,Command and Control,T1071,Detect_CobaltStrike_Beacon,"rule Detect_CobaltStrike_Beacon { meta: description=""Detects Cobalt Strike beacon artifact"" strings: $pipe = ""\\\\.\\\\pipe\\\\msagent_"" $cs1 = ""beacon"" nocase $cs2 = ""cobaltstrike"" nocase $sleep = { 48 83 EC 20 B8 01 00 00 00 } $config = { 69 68 69 68 69 6B } condition: ($pipe or $cs2 or $cs1) and ($sleep or $config) }",malicious,hard,manual
38,detect dropper that extracts and runs an embedded executable from its resources,technical,en,Resource Dropper,dropper,Obfuscated Files or Information,T1027.009,Detect_Resource_Dropper,"rule Detect_Resource_Dropper { meta: description=""Detects dropper extracting PE from resources"" strings: $res1 = ""FindResource"" $res2 = ""LoadResource"" $res3 = ""LockResource"" $write = ""WriteFile"" $exec = ""CreateProcess"" condition: pe.is_pe and 3 of ($res1, $res2, $res3) and $write and $exec }",malicious,hard,manual
39,simple document Word normal sans macro ni code VBA,short_fr,fr,Clean Word Doc,benign,N/A,N/A,Benign_Clean_Word_Document,"rule Benign_Clean_Word_Document { meta: description=""Identifies clean Word document without macros"" strings: $docx = ""word/document.xml"" $no_macro = ""vbaProject.bin"" $no_auto = ""AutoOpen"" condition: $docx and not $no_macro and not $no_auto }",benign,easy,manual
40,detect a fileless malware that runs entirely in memory using reflective DLL injection,technical,en,Fileless Malware,apt_tool,Process Injection: Reflective DLL Injection,T1055.001,Detect_Reflective_DLL_Injection,"rule Detect_Reflective_DLL_Injection { meta: description=""Detects reflective DLL injection technique"" strings: $reflect1 = ""ReflectiveLoader"" $reflect2 = { 52 65 66 6C 65 63 74 69 76 65 4C 6F 61 64 65 72 } $valloc = ""VirtualAlloc"" $nocrt = { 55 8B EC 83 EC } condition: ($reflect1 or $reflect2) and $valloc }",malicious,hard,manual
41,Detect ransomware that creates a mutex to avoid double infection,technical,en,Mutex Ransomware,ransomware,Data Encrypted for Impact,T1486,Detect_Ransomware_Mutex,"rule Detect_Ransomware_Mutex { meta: description=""Detects ransomware using mutex for single instance"" strings: $mutex1 = ""CreateMutex"" $mutex2 = ""Global\\\\"" $encrypt = ""CryptEncrypt"" $note = ""README"" condition: $mutex1 and $mutex2 and ($encrypt or $note) }",malicious,medium,manual
42,détecter un malware qui effectue un scan de ports sur le réseau local,technical_fr,fr,Port Scanner,trojan,Network Service Discovery,T1046,Detect_Port_Scanner_Malware,"rule Detect_Port_Scanner_Malware { meta: description=""Detects port scanning malware behavior"" strings: $sock = ""socket"" $connect = ""connect"" $range = /192\.168\.[0-9]{1,3}\.[0-9]{1,3}/ $scan = ""portscan"" nocase condition: $sock and $connect and ($range or $scan) }",malicious,medium,manual
43,rule for detecting a macro-enabled Word document that downloads a payload,technical,en,Maldoc Macro,maldoc,Phishing: Spearphishing Attachment,T1566.001,Detect_Maldoc_Macro_Download,"rule Detect_Maldoc_Macro_Download { meta: description=""Detects malicious macro Word document downloading payload"" strings: $auto = ""AutoOpen"" $shell = ""Shell"" $wscript = ""WScript.Shell"" $dl = ""DownloadFile"" $url = /https?:\/\/[a-zA-Z0-9.\/]{10,}/ condition: ($auto or $wscript) and ($shell or $dl) and $url }",malicious,medium,manual
44,Détecter un malware qui vole des mots de passe sauvegardés dans Chrome,informal_fr,fr,Chrome Stealer,infostealer,Credentials from Web Browsers,T1555.003,Detect_Chrome_Password_Stealer,"rule Detect_Chrome_Password_Stealer { meta: description=""Detects Chrome saved password stealer"" strings: $path1 = ""\\\\Google\\\\Chrome\\\\User Data"" $path2 = ""Login Data"" $api = ""CryptUnprotectData"" $sqlite = ""SELECT * FROM logins"" condition: ($path1 or $path2) and ($api or $sqlite) }",malicious,medium,manual
45,detect legitimate antivirus software running on Windows system,technical,en,Legitimate AV,benign,N/A,N/A,Benign_Legitimate_Antivirus,"rule Benign_Legitimate_Antivirus { meta: description=""Identifies legitimate antivirus software"" strings: $pub1 = ""Kaspersky"" $pub2 = ""Symantec"" $pub3 = ""ESET"" $pub4 = ""Bitdefender"" $sign = ""Digital Signature"" condition: any of ($pub1, $pub2, $pub3, $pub4) and $sign }",benign,easy,manual
46,Detect a macro Excel file that runs PowerShell command on open,short_technical,en,Excel Macro,maldoc,Phishing,T1566,Detect_Excel_Macro_PowerShell,"rule Detect_Excel_Macro_PowerShell { meta: description=""Detects malicious Excel macro launching PowerShell"" strings: $workbook = ""Workbook_Open"" $ps = ""powershell"" nocase $enc = ""-encodedcommand"" nocase $bypass = ""-executionpolicy bypass"" nocase condition: $workbook and $ps and ($enc or $bypass) }",malicious,medium,manual
47,détecter un logiciel espion qui active la caméra et le microphone à distance,formal_fr,fr,Camfecting Spyware,spyware,Audio Capture,T1123,Detect_Camfecting_Spyware,"rule Detect_Camfecting_Spyware { meta: description=""Detects spyware activating camera and microphone"" strings: $cam1 = ""capCreateCaptureWindow"" $cam2 = ""VideoCapture"" $mic1 = ""waveInOpen"" $mic2 = ""AudioRecord"" $send = ""send"" condition: ($cam1 or $cam2) and ($mic1 or $mic2) and $send }",malicious,hard,manual
48,detect network worm spreading via EternalBlue SMB exploit like WannaCry,technical,en,EternalBlue Worm,worm,Exploit Public-Facing Application,T1190,Detect_EternalBlue_SMB_Exploit,"rule Detect_EternalBlue_SMB_Exploit { meta: description=""Detects EternalBlue SMB exploitation attempt"" strings: $eb1 = { 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 } $smb = ""SMB"" $pipe = ""\\\\IPC$"" $exploit = { FC E8 82 00 00 00 60 89 E5 } condition: $smb and $pipe and ($eb1 or $exploit) }",malicious,hard,manual
49,Détecter un malware qui utilise Tor pour anonymiser ses communications C2,technical_fr,fr,Tor C2 Malware,trojan,Proxy: Multi-hop Proxy,T1090.003,Detect_Tor_C2_Communication,"rule Detect_Tor_C2_Communication { meta: description=""Detects malware using Tor for C2 anonymization"" strings: $tor1 = "".onion"" $tor2 = ""127.0.0.1:9050"" $tor3 = ""tor"" nocase $socks = ""SOCKS5"" condition: ($tor1 or $tor2) and ($tor3 or $socks) }",malicious,hard,manual
50,normal Windows system DLL used by legitimate applications,technical,en,Legitimate DLL,benign,N/A,N/A,Benign_Windows_System_DLL,"rule Benign_Windows_System_DLL { meta: description=""Identifies legitimate Windows system DLL"" strings: $ms = ""Microsoft Corporation"" $sys = ""C:\\\\Windows\\\\System32"" $sign = ""Authenticode"" condition: $ms and $sys and $sign and filesize < 50MB }",benign,easy,manual
51,Create a detection rule that a ransomware that encrypts files and uses the string cryptencrypt,short_technical,en,WannaCry,ransomware,Data Encrypted for Impact,T1486,Detect_WannaCry_CryptEncrypt,"rule Detect_WannaCry_CryptEncrypt { meta: description=""Detects WannaCry ransomware via CryptEncrypt API"" author=""Manual"" date=""2026-01-10"" strings: $api = ""CryptEncrypt"" $ext = "".WNCRY"" $msg = ""WannaCry"" condition: $api and ($ext or $msg) }",malicious,easy,synthetic_paraphrase
52,Construire une règle pour trouver un ransomware qui renomme les fichiers avec l'extension .locked,technical_fr,fr,LockBit,ransomware,Data Encrypted for Impact,T1486,Detect_LockBit_Extension,"rule Detect_LockBit_Extension { meta: description=""Detects LockBit via .locked extension"" author=""Manual"" date=""2026-01-10"" strings: $ext1 = "".locked"" fullword $ext2 = "".lockbit"" fullword $note = ""LockBit_Readme.txt"" condition: any of them }",malicious,easy,synthetic_paraphrase
53,Build a rule to flag i need a rule to catch malware that downloads stuff from the internet and hides itself,short_informal,en,Generic Downloader,trojan,Ingress Tool Transfer,T1105,Detect_Generic_Downloader,"rule Detect_Generic_Downloader { meta: description=""Detects generic downloader trojan"" strings: $url1 = ""http://"" $url2 = ""https://"" $dl = ""URLDownloadToFile"" $hide = ""SetFileAttributesA"" condition: ($url1 or $url2) and $dl and $hide }",malicious,medium,synthetic_paraphrase
54,Créer une règle YARA pour détecter un keylogger qui capture les frappes clavier,short_fr,fr,Generic Keylogger,spyware,Input Capture: Keylogging,T1056.001,Detect_Keylogger_API,"rule Detect_Keylogger_API { meta: description=""Detects keylogger via Windows API"" author=""Manual"" strings: $api1 = ""SetWindowsHookEx"" $api2 = ""GetAsyncKeyState"" $api3 = ""GetKeyboardState"" $log = ""keylog"" nocase condition: 2 of ($api1, $api2, $api3) or $log }",malicious,medium,synthetic_paraphrase
55,Build a rule to flag pe file that injects code into other processes using createremotethread,formal,en,Injector,trojan,Process Injection,T1055,Detect_Process_Injection_CRT,"rule Detect_Process_Injection_CRT { meta: description=""Detects process injection via CreateRemoteThread"" strings: $api1 = ""CreateRemoteThread"" $api2 = ""VirtualAllocEx"" $api3 = ""WriteProcessMemory"" $api4 = ""OpenProcess"" condition: pe.is_pe and 3 of them }",malicious,hard,synthetic_paraphrase
56,Détecter les fichiers qui je veux détecter un virus qui se propage via clé usb et crée des fichiers autorun,technical_fr,fr,USB Worm,worm,Replication Through Removable Media,T1091,Detect_USB_Worm_Autorun,"rule Detect_USB_Worm_Autorun { meta: description=""Detects USB worm using autorun.inf"" strings: $autorun = ""autorun.inf"" nocase $open = ""open="" $shell = ""shell\\open\\command"" condition: $autorun and ($open or $shell) }",malicious,easy,synthetic_paraphrase
57,I need to identify malware that uses base64 encoding to hide its payload and decodes it at runtime,formal,en,Obfuscated Malware,trojan,Obfuscated Files or Information,T1027,Detect_Base64_Obfuscation,"rule Detect_Base64_Obfuscation { meta: description=""Detects base64-encoded payload execution"" strings: $b64 = /[A-Za-z0-9+\/]{40,}={0,2}/ $decode = ""CryptStringToBinary"" $ps = ""FromBase64String"" condition: ($b64 and $decode) or $ps }",malicious,medium,synthetic_paraphrase
